,Country,City,Latitude,Longitude,elevation
1379,AFG,Khost,33.4014634,69.8912294,1532
1276,AFG,Kabul,34.5269503,69.1850584,1954
2991,AFG,Uruzgan,32.8129681,66.0183185,1930
2139,AFG,Parwan,34.9797014,68.9146703,2750
2129,AFG,Panjshir,35.4338536,69.7930899,3779
2124,AFG,Paktika,32.3936231,68.7036514,2179
1259,AFG,Jowzjan,36.9665706,65.9560232,303
1565,AFG,Logar,34.0653595,69.160172,2477
1505,AFG,Laghman,34.783333,70.183333,1560
2123,AFG,Paktia,33.705724,69.4083555,2517
911,AFG,Farah,32.607111,62.671011,844
915,AFG,Faryab,35.9261784,64.6237758,815
1940,AFG,Nimruz,30.7753811,62.4793088,552
983,AFG,Ghanzi,,,2725
990,AFG,Ghor,34.1605257,64.9201949,2682
3095,AFG,Wardak,34.3191345,68.3360426,3025
1882,AFG,Nangarhar,34.220389,70.3800314,1136
2037,AFG,Nuristan,35.3,70.833333,3789
1118,AFG,Helmand,31,64,915
744,AFG,Daykundi,33.725113,66.2196554,2591
1120,AFG,Herat,34.3491443,62.2163252,1161
1305,AFG,Kandahar,31.6205738,65.7157573,1144
283,AFG,Badakhshan,36.8040254,71.367658,3663
2523,AFG,Samangan,36,67.666667,1938
1315,AFG,Kapisa,34.905556,69.741667,2344.5
1452,AFG,Kunduz,36.8707187,68.7563528,427
2581,AFG,Sar-e Pol,35.5532126,66.2426766,2405
1451,AFG,Kunar,34.95,71.133333,1933
285,AFG,Badghis,35,63.75,1495
3182,AFG,Zabul,32.3068942,67.129904,2063
288,AFG,Baghlan,35.75,69,2004
304,AFG,Balkh,36.7581299,66.8979753,381
2822,AFG,Takhar,36.5940732,69.7938996,1387
313,AFG,Bamyan,34.75,67.25,3210
1815,AGO,Moxico,-12.7287195,21.2737637,1198
1874,AGO,Namibe,-15.2669341,12.7064561,533
713,AGO,Cunene,-16.5568536,15.7867319,1159
370,AGO,Benguela,-12.5790048,13.4037117,900
400,AGO,Bié,-12.2630485,17.4967812,1449
511,AGO,Cabinda,-5.056395,12.3211749,106
709,AGO,Cuando Cubango,-16.0457694,19.5621532,1180
710,AGO,Cuanza Norte,-9.0296752,15.0926324,765
369,AGO,Bengo,-8.3196672,13.8656195,301
